id;slot;customer_name;employee_name;service_name;category_name;status;payment_status
1;2020-06-26T12:43:50;Rhode Island;plum Down-sized Operative;CFA Franc BEAC vertical Dam;Sweden;59369;32193
2;2020-06-26T03:56:23;Bike Reverse-engineered Lempira;Usability;Fresh;Orchestrator;97702;54915
3;2020-06-26T12:00:09;Summit alarm port;client-driven Jewelery Planner;cultivate auxiliary;Intelligent connect;88102;41905
4;2020-06-26T09:25:47;Streamlined ivory;Re-engineered indigo copying;Borders;Papua New Guinea Bedfordshire;20847;97898
5;2020-06-26T04:21:17;Armenian Dram Business-focused;Soft Cross-platform;Investment Account;Tasty hard drive Gorgeous;32056;60102
6;2020-06-26T06:18:50;Lead;Handcrafted Frozen Chips Vermont;panel feed lavender;feed neural-net Checking Account;22439;6280
7;2020-06-26T01:22:51;Strategist Unbranded Rubber Keyboard;Cross-group;copy strategy;Kids;94539;19652
8;2020-06-26T15:54:36;deposit Beauty strategy;infomediaries content Tasty;Colorado Books;virtual Sports;12283;8702
9;2020-06-26T16:18:56;input leading-edge;firmware;Square Wisconsin innovative;bypass;61318;61677
10;2020-06-26T13:41:04;users;Cheese;SAS;Markets Organized Malawi;42507;61826
